    [group_G4/L9] step  21000/122070 | loss=592.0 | L0=80 | FVE=0.7359 | dead=0.379 | a=0.0269±0.0189 | 86.0M tok | ETA 8.2h
    [group_G4/L9] step  21500/122070 | loss=600.9 | L0=80 | FVE=0.7350 | dead=0.373 | a=0.0288±0.0194 | 88.1M tok | ETA 8.2h
    [group_G4/L9] step  22000/122070 | loss=583.3 | L0=80 | FVE=0.7405 | dead=0.374 | a=0.0309±0.0200 | 90.1M tok | ETA 8.1h
    [group_G4/L9] step  22500/122070 | loss=577.7 | L0=80 | FVE=0.7419 | dead=0.370 | a=0.0334±0.0205 | 92.2M tok | ETA 8.1h
    [group_G4/L9] step  23000/122070 | loss=593.2 | L0=80 | FVE=0.7384 | dead=0.366 | a=0.0354±0.0211 | 94.2M tok | ETA 8.0h
    [group_G4/L9] step  23500/122070 | loss=577.8 | L0=80 | FVE=0.7427 | dead=0.367 | a=0.0374±0.0215 | 96.3M tok | ETA 8.0h
    [group_G4/L9] step  24000/122070 | loss=585.8 | L0=80 | FVE=0.7401 | dead=0.364 | a=0.0398±0.0221 | 98.3M tok | ETA 8.0h
    [group_G4/L9] Checkpoint saved at 20% (24414 steps)
    [group_G4/L9] step  24500/122070 | loss=577.9 | L0=80 | FVE=0.7464 | dead=0.361 | a=0.0424±0.0226 | 100.4M tok | ETA 7.9h
    [group_G4/L9] step  25000/122070 | loss=588.1 | L0=80 | FVE=0.7425 | dead=0.358 | a=0.0445±0.0231 | 102.4M tok | ETA 7.9h
    [group_G4/L9] step  25500/122070 | loss=589.5 | L0=80 | FVE=0.7374 | dead=0.359 | a=0.0466±0.0233 | 104.4M tok | ETA 7.9h
    [group_G4/L9] step  26000/122070 | loss=587.8 | L0=80 | FVE=0.7393 | dead=0.356 | a=0.0482±0.0238 | 106.5M tok | ETA 7.8h
    [group_G4/L9] step  26500/122070 | loss=600.8 | L0=80 | FVE=0.7380 | dead=0.357 | a=0.0503±0.0241 | 108.5M tok | ETA 7.8h
    [group_G4/L9] step  27000/122070 | loss=588.8 | L0=80 | FVE=0.7402 | dead=0.355 | a=0.0524±0.0245 | 110.6M tok | ETA 7.7h
    [group_G4/L9] step  27500/122070 | loss=575.2 | L0=80 | FVE=0.7452 | dead=0.354 | a=0.0549±0.0250 | 112.6M tok | ETA 7.7h
    [group_G4/L9] step  28000/122070 | loss=567.5 | L0=80 | FVE=0.7469 | dead=0.351 | a=0.0575±0.0254 | 114.7M tok | ETA 7.6h
    [group_G4/L9] step  28500/122070 | loss=581.8 | L0=80 | FVE=0.7434 | dead=0.351 | a=0.0599±0.0257 | 116.7M tok | ETA 7.6h
    [group_G4/L9] step  29000/122070 | loss=573.8 | L0=80 | FVE=0.7465 | dead=0.348 | a=0.0621±0.0261 | 118.8M tok | ETA 7.6h
    [group_G4/L9] step  29500/122070 | loss=566.5 | L0=80 | FVE=0.7466 | dead=0.347 | a=0.0643±0.0264 | 120.8M tok | ETA 7.5h
    [group_G4/L9] step  30000/122070 | loss=565.0 | L0=80 | FVE=0.7489 | dead=0.346 | a=0.0669±0.0267 | 122.9M tok | ETA 7.5h
    [group_G4/L9] step  30500/122070 | loss=572.6 | L0=80 | FVE=0.7490 | dead=0.346 | a=0.0692±0.0270 | 124.9M tok | ETA 7.4h
    [group_G4/L9] step  31000/122070 | loss=583.0 | L0=80 | FVE=0.7406 | dead=0.345 | a=0.0711±0.0271 | 127.0M tok | ETA 7.4h
    [group_G4/L9] step  31500/122070 | loss=579.1 | L0=80 | FVE=0.7416 | dead=0.343 | a=0.0732±0.0274 | 129.0M tok | ETA 7.4h
    [group_G4/L9] step  32000/122070 | loss=597.2 | L0=80 | FVE=0.7392 | dead=0.341 | a=0.0757±0.0277 | 131.1M tok | ETA 7.3h
    [group_G4/L9] step  32500/122070 | loss=576.0 | L0=80 | FVE=0.7450 | dead=0.341 | a=0.0779±0.0280 | 133.1M tok | ETA 7.3h
    [group_G4/L9] step  33000/122070 | loss=564.6 | L0=80 | FVE=0.7482 | dead=0.342 | a=0.0803±0.0282 | 135.2M tok | ETA 7.2h
    [group_G4/L9] step  33500/122070 | loss=570.0 | L0=80 | FVE=0.7488 | dead=0.339 | a=0.0827±0.0285 | 137.2M tok | ETA 7.2h
    [group_G4/L9] step  34000/122070 | loss=574.5 | L0=80 | FVE=0.7439 | dead=0.340 | a=0.0850±0.0288 | 139.3M tok | ETA 7.1h
    [group_G4/L9] step  34500/122070 | loss=569.3 | L0=80 | FVE=0.7467 | dead=0.338 | a=0.0873±0.0291 | 141.3M tok | ETA 7.1h
    [group_G4/L9] step  35000/122070 | loss=571.4 | L0=80 | FVE=0.7492 | dead=0.338 | a=0.0896±0.0291 | 143.4M tok | ETA 7.1h
    [group_G4/L9] step  35500/122070 | loss=574.4 | L0=80 | FVE=0.7481 | dead=0.337 | a=0.0921±0.0293 | 145.4M tok | ETA 7.0h
    [group_G4/L9] step  36000/122070 | loss=584.6 | L0=80 | FVE=0.7413 | dead=0.336 | a=0.0936±0.0293 | 147.5M tok | ETA 7.0h
    [group_G4/L9] step  36500/122070 | loss=576.6 | L0=80 | FVE=0.7421 | dead=0.336 | a=0.0954±0.0295 | 149.5M tok | ETA 7.0h
